Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-04-12,16.635,16.747,16.57,16.723,5648700,0.0,0.0
2021-04-13,16.635,16.667,16.233,16.434,7421800,0.0,0.0
2021-04-14,16.338,16.843,16.338,16.691,7120100,0.0,0.0
2021-04-15,16.731,16.731,16.225,16.53,9358900,0.0,0.0
2021-04-16,16.739,16.843,16.546,16.595,7957600,0.0,0.0
2021-04-19,16.675,16.819,16.338,16.386,9297600,0.0,0.0
2021-04-20,16.209,16.354,15.848,15.92,12741800,0.0,0.0
2021-04-21,15.832,16.434,15.712,16.402,7804200,0.0,0.0
2021-04-22,16.434,16.45,16.049,16.057,8462600,0.0,0.0
2021-04-23,16.089,16.755,15.953,16.667,11988200,0.0,0.0
2021-04-26,16.883,17.228,16.867,17.068,12438100,0.0,0.0
2021-04-27,17.124,17.236,17.004,17.212,8168200,0.0,0.0
2021-04-28,17.261,17.373,17.132,17.293,6183900,0.0,0.0
2021-04-29,17.549,17.742,17.461,17.702,7068500,0.0,0.0
2021-04-30,17.606,17.758,17.453,17.461,7420200,0.0,0.0
2021-05-03,17.654,17.782,17.429,17.654,5854500,0.0,0.0
2021-05-04,17.582,17.975,17.429,17.975,11013200,0.0,0.0
2021-05-05,18.007,18.296,17.758,18.232,9537800,0.0,0.0
2021-05-06,18.312,18.376,17.975,18.368,5294100,0.0,0.0
2021-05-07,17.991,18.52,17.951,18.512,7003700,0.0,0.0
2021-05-10,18.665,18.809,18.424,18.424,6686600,0.0,0.0
2021-05-11,18.272,18.697,18.119,18.256,8471600,0.0,0.0
2021-05-12,18.552,18.657,17.822,17.878,7340100,0.0,0.0
2021-05-13,17.766,18.561,17.734,18.448,8582800,0.0,0.0
2021-05-14,18.512,18.817,18.432,18.769,7187900,0.0,0.0
2021-05-17,18.673,18.898,18.577,18.873,5164800,0.0,0.0
2021-05-18,18.865,18.978,18.496,18.504,5807900,0.0,0.0
2021-05-19,18.336,18.4,18.031,18.376,6922400,0.0,0.0
2021-05-20,18.36,18.456,18.095,18.32,4949200,0.0,0.0
2021-05-21,18.432,18.721,18.4,18.552,5861800,0.0,0.0
2021-05-24,18.633,18.649,18.392,18.488,6449300,0.0,0.0
2021-05-25,18.528,18.817,18.159,18.191,5525300,0.0,0.0
2021-05-26,18.232,18.432,18.127,18.384,4989600,0.0,0.0
2021-05-27,18.633,18.721,18.512,18.673,7545300,0.0,0.0
2021-05-28,18.693,18.709,18.361,18.636,5004400,0.185,0.0
2021-06-01,18.831,18.928,18.653,18.717,5603400,0.0,0.0
2021-06-02,18.725,18.725,18.426,18.572,6014200,0.0,0.0
2021-06-03,18.531,18.79,18.491,18.604,6518200,0.0,0.0
2021-06-04,18.58,18.58,18.208,18.386,4688300,0.0,0.0
2021-06-07,18.45,18.507,18.329,18.394,5325500,0.0,0.0
2021-06-08,18.24,18.475,18.022,18.394,6772200,0.0,0.0
2021-06-09,18.192,18.224,17.949,18.006,4466500,0.0,0.0
2021-06-10,18.305,18.329,17.601,17.601,5055500,0.0,0.0
2021-06-11,17.633,17.868,17.617,17.747,5375500,0.0,0.0
2021-06-14,17.722,17.763,17.245,17.415,6252300,0.0,0.0
2021-06-15,17.423,17.706,17.342,17.553,5561100,0.0,0.0
2021-06-16,17.423,17.771,17.189,17.682,8570800,0.0,0.0
2021-06-17,17.836,17.9,16.55,16.59,8093100,0.0,0.0
2021-06-18,16.218,16.412,16.0,16.121,14814000,0.0,0.0
