Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-12-06,23.258,23.346,22.332,22.791,8350700,0.0,0.0
2021-12-07,23.293,24.21,23.188,23.708,7865500,0.0,0.0
2021-12-08,23.708,23.981,23.461,23.478,7695300,0.0,0.0
2021-12-09,23.126,23.355,22.879,22.95,10568200,0.0,0.0
2021-12-10,23.39,23.637,22.747,23.514,8941500,0.0,0.0
2021-12-13,23.223,23.434,22.182,22.288,10501600,0.0,0.0
2021-12-14,21.856,22.667,21.733,21.997,7080100,0.0,0.0
2021-12-15,21.918,22.244,20.869,22.13,7724600,0.0,0.0
2021-12-16,22.526,22.782,21.653,21.856,8682200,0.0,0.0
2021-12-17,21.433,21.98,21.107,21.495,16747400,0.0,0.0
2021-12-20,20.631,21.142,20.225,21.107,7124000,0.0,0.0
2021-12-21,21.609,22.394,21.592,22.341,5777100,0.0,0.0
2021-12-22,21.988,23.099,21.936,22.773,10304800,0.0,0.0
2021-12-23,22.835,23.302,22.817,22.985,4694400,0.0,0.0
2021-12-27,22.87,24.695,22.491,24.66,8832300,0.0,0.0
2021-12-28,24.933,25.242,24.448,24.625,6778600,0.0,0.0
2021-12-29,24.589,25.136,24.334,24.607,7091300,0.0,0.0
2021-12-30,24.607,24.863,23.814,23.858,5387900,0.0,0.0
2021-12-31,23.699,23.972,23.39,23.708,5037100,0.0,0.0
2022-01-03,23.875,24.81,23.787,24.739,9319700,0.0,0.0
2022-01-04,25.304,26.397,25.215,25.974,13218200,0.0,0.0
2022-01-05,26.45,26.529,25.013,25.039,9212700,0.0,0.0
2022-01-06,25.885,26.37,25.374,26.115,7626800,0.0,0.0
2022-01-07,26.317,26.714,25.938,26.159,8355400,0.0,0.0
2022-01-10,26.132,26.309,25.259,25.938,10408600,0.0,0.0
2022-01-11,26.238,28.336,26.0,28.213,12299200,0.0,0.0
2022-01-12,28.945,29.174,28.116,28.786,16272500,0.0,0.0
2022-01-13,28.795,29.368,28.169,28.292,8109000,0.0,0.0
2022-01-14,28.486,29.421,27.922,29.35,11022000,0.0,0.0
2022-01-18,30.064,30.329,28.627,29.068,9779200,0.0,0.0
2022-01-19,29.421,29.562,28.301,28.548,8146800,0.0,0.0
2022-01-20,28.128,29.092,27.57,27.659,8783800,0.125,0.0
2022-01-21,27.26,27.473,26.083,26.641,9839500,0.0,0.0
2022-01-24,25.658,27.163,24.764,27.03,10338600,0.0,0.0
2022-01-25,26.818,29.561,26.207,29.269,14303100,0.0,0.0
2022-01-26,29.685,30.349,28.614,29.305,12034100,0.0,0.0
2022-01-27,29.969,30.526,28.561,29.163,8766200,0.0,0.0
2022-01-28,29.269,30.075,28.402,29.358,7526800,0.0,0.0
2022-01-31,29.296,29.694,28.667,29.393,7038300,0.0,0.0
2022-02-01,29.225,30.969,28.862,30.721,9075600,0.0,0.0
2022-02-02,30.765,30.898,29.933,30.774,6537600,0.0,0.0
2022-02-03,30.429,31.11,30.004,30.57,6909200,0.0,0.0
2022-02-04,31.022,32.27,30.455,30.526,10324900,0.0,0.0
2022-02-07,30.252,30.783,29.455,30.172,7647000,0.0,0.0
2022-02-08,29.898,29.986,28.606,29.092,10434400,0.0,0.0
2022-02-09,28.968,30.013,28.942,29.588,7594000,0.0,0.0
2022-02-10,29.429,30.632,29.322,29.615,8841800,0.0,0.0
2022-02-11,29.774,30.5,29.526,30.216,12781100,0.0,0.0
2022-02-14,29.96,30.234,28.269,28.446,12322300,0.0,0.0
2022-02-15,27.482,28.659,27.349,28.526,6883700,0.0,0.0
2022-02-16,28.694,29.411,28.305,28.676,7334700,0.0,0.0
2022-02-17,28.561,29.42,28.411,28.667,6808500,0.0,0.0
2022-02-18,28.154,28.65,27.809,28.464,8774300,0.0,0.0
2022-02-22,29.225,29.42,26.933,27.473,14908200,0.0,0.0
2022-02-23,27.827,28.57,27.127,27.287,10600300,0.0,0.0
2022-02-24,27.552,28.721,26.508,28.597,14283800,0.0,0.0
