Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-03-20,252.836,256.178,252.836,255.574,2108900,0.0,0.0
2023-03-21,254.875,255.696,252.628,255.073,3120100,0.0,0.0
2023-03-22,254.913,256.744,252.713,252.864,2240800,0.0,0.0
2023-03-23,252.978,256.272,252.978,254.516,2263800,0.0,0.0
2023-03-24,255.224,256.603,253.78,256.131,2229200,0.0,0.0
2023-03-27,256.763,259.548,255.413,258.5,2799100,0.0,0.0
2023-03-28,258.641,260.747,258.188,260.397,2036000,0.0,0.0
2023-03-29,261.483,262.568,260.964,261.898,2053400,0.0,0.0
2023-03-30,261.728,262.804,261.011,262.229,1788800,0.0,0.0
2023-03-31,263.295,264.919,262.899,263.947,2902500,0.0,0.0
2023-04-03,265.249,267.024,264.013,266.335,2352700,0.0,0.0
2023-04-04,265.646,267.543,264.683,266.467,2282300,0.0,0.0
2023-04-05,267.609,269.016,265.995,266.222,2600800,0.0,0.0
2023-04-06,266.609,267.609,265.797,267.043,1731000,0.0,0.0
2023-04-10,267.317,268.251,266.193,267.883,1941800,0.0,0.0
2023-04-11,267.307,269.545,266.911,268.544,2732900,0.0,0.0
2023-04-12,267.949,270.725,267.619,269.318,2557400,0.0,0.0
2023-04-13,270.517,273.321,270.083,272.877,3229300,0.0,0.0
2023-04-14,273.084,273.698,271.508,272.792,2054700,0.0,0.0
2023-04-17,273.604,274.236,272.037,273.103,2371000,0.0,0.0
2023-04-18,273.188,274.878,272.811,274.614,2086700,0.0,0.0
2023-04-19,274.614,275.265,273.934,274.954,2254000,0.0,0.0
2023-04-20,274.661,275.331,273.641,274.699,2274200,0.0,0.0
2023-04-21,275.945,276.143,274.236,275.699,2171200,0.0,0.0
2023-04-24,276.426,276.993,275.369,276.775,2995200,0.0,0.0
2023-04-25,278.475,278.475,273.217,275.18,5845200,0.0,0.0
2023-04-26,273.736,275.171,273.528,273.528,3290000,0.0,0.0
2023-04-27,274.434,278.522,273.755,278.21,3142300,0.0,0.0
2023-04-28,278.314,279.589,277.446,279.183,2838200,0.0,0.0
2023-05-01,279.154,282.062,279.088,280.91,2124400,0.0,0.0
2023-05-02,280.712,281.741,279.022,281.373,2083800,0.0,0.0
2023-05-03,280.136,280.608,278.144,278.682,2425500,0.0,0.0
2023-05-04,279.475,279.711,277.03,278.626,2005300,0.0,0.0
2023-05-05,279.201,280.381,277.965,279.985,1815800,0.0,0.0
2023-05-08,280.457,280.712,279.013,280.07,2969600,0.0,0.0
2023-05-09,281.901,282.118,279.702,280.042,1637500,0.0,0.0
2023-05-10,279.777,281.307,277.38,279.957,1849300,0.0,0.0
2023-05-11,279.891,280.306,276.926,278.276,1955100,0.0,0.0
2023-05-12,278.654,279.824,277.823,279.551,1801700,0.0,0.0
2023-05-15,279.201,280.023,278.154,279.324,1700500,0.0,0.0
2023-05-16,279.362,279.598,277.512,277.672,2859500,0.0,0.0
2023-05-17,278.965,278.965,276.256,277.021,2802100,0.0,0.0
2023-05-18,276.823,277.937,274.821,277.578,2410700,0.0,0.0
